step,time_s,dt_s,midpoint_radius_m,radius_m,midpoint_air_temperature_C,midpoint_air_moisture_kgkg,picard_iterations,picard_delta_temperature_C,picard_delta_moisture_kgkg,temperature_linear_normalized_inf_residual,moisture_linear_normalized_inf_residual,linear_normalized_inf_residual,temperature_balance_residual,moisture_balance_residual,temperature_boundary_flux,moisture_boundary_flux,max_moisture_kgkg,max_xi,max_radius_m
1171,1171.000000,1.000000,1.917414722222e-02,1.917379444444e-02,3.765435833333e+01,2.859041666667e-02,4,4.746425e-12,7.083445e-12,3.294357e-16,2.624362e-16,3.294357e-16,-8.167262e-10,-2.547197e-17,6.374239e+03,-5.070175e-05,2.550000000000e+00,3.150000000000e-01,6.039745250000e-03
1172,1172.000000,1.000000,1.917344166667e-02,1.917308888889e-02,3.766207500000e+01,2.860125000000e-02,4,4.838796e-12,7.083001e-12,3.293747e-16,3.148989e-16,3.293747e-16,-2.089746e-08,1.151965e-19,6.377772e+03,-5.069315e-05,2.550000000000e+00,3.137500000000e-01,6.015556638889e-03
1173,1173.000000,1.000000,1.917273611111e-02,1.917238333333e-02,3.766979166667e+01,2.861208333333e-02,4,4.845901e-12,7.082557e-12,2.744280e-16,3.148745e-16,3.148745e-16,-4.643880e-09,1.418272e-17,6.381301e+03,-5.068455e-05,2.550000000000e+00,3.162500000000e-01,6.063266229167e-03
1174,1174.000000,1.000000,1.917203055556e-02,1.917167777778e-02,3.767750833333e+01,2.862291666667e-02,4,4.803269e-12,7.082335e-12,2.743772e-16,2.623750e-16,2.743772e-16,3.355217e-08,-1.556508e-17,6.384826e+03,-5.067596e-05,2.550000000000e+00,4.750000000000e-02,9.106546944444e-04
1175,1175.000000,1.000000,1.917132500000e-02,1.917097222222e-02,3.768522500000e+01,2.863375000000e-02,4,5.016432e-12,7.081891e-12,3.291915e-16,3.148256e-16,3.291915e-16,9.529685e-09,8.009544e-18,6.388349e+03,-5.066739e-05,2.550000000000e+00,3.237500000000e-01,6.206602256944e-03
1176,1176.000000,1.000000,1.917061944444e-02,1.917026666667e-02,3.769294166667e+01,2.864458333333e-02,4,4.895639e-12,7.081669e-12,3.291305e-16,2.623342e-16,3.291305e-16,-9.830728e-09,-2.436067e-17,6.391869e+03,-5.065883e-05,2.550000000000e+00,3.150000000000e-01,6.038634000000e-03
1177,1177.000000,1.000000,1.916991388889e-02,1.916956111111e-02,3.770065833333e+01,2.865541666667e-02,4,4.988010e-12,7.081002e-12,3.290694e-16,3.147765e-16,3.290694e-16,5.491074e-08,-6.220610e-18,6.395386e+03,-5.065028e-05,2.550000000000e+00,3.162500000000e-01,6.062373701389e-03
1178,1178.000000,1.000000,1.916920833333e-02,1.916885555556e-02,3.770837500000e+01,2.866625000000e-02,4,4.781953e-12,7.081447e-12,3.290083e-16,2.622929e-16,3.290083e-16,3.801597e-08,7.413232e-18,6.398901e+03,-5.064174e-05,2.550000000000e+00,3.175000000000e-01,6.086111638889e-03
1179,1179.000000,1.000000,1.916850277778e-02,1.916815000000e-02,3.771609166667e+01,2.867708333333e-02,4,4.945377e-12,7.080336e-12,3.289472e-16,3.147264e-16,3.289472e-16,-5.788934e-09,1.123505e-17,6.402412e+03,-5.063322e-05,2.550000000000e+00,3.175000000000e-01,6.085887625000e-03
1180,1180.000000,1.000000,1.916779722222e-02,1.916744444444e-02,3.772380833333e+01,2.868791666667e-02,4,4.973799e-12,7.079670e-12,2.740717e-16,2.622511e-16,2.740717e-16,4.481444e-08,4.106416e-18,6.405921e+03,-5.062470e-05,2.550000000000e+00,3.187500000000e-01,6.109622916667e-03
1181,1181.000000,1.000000,1.916709166667e-02,1.916673888889e-02,3.773152500000e+01,2.869875000000e-02,4,4.845901e-12,7.079226e-12,3.288250e-16,3.146763e-16,3.288250e-16,-2.272463e-08,3.338665e-17,6.409427e+03,-5.061620e-05,2.550000000000e+00,3.125000000000e-01,5.989605902778e-03
1182,1182.000000,1.000000,1.916638611111e-02,1.916603333333e-02,3.773924166667e+01,2.870958333333e-02,4,4.860112e-12,7.078782e-12,3.287638e-16,2.622093e-16,3.287638e-16,2.172783e-08,-2.684756e-17,6.412931e+03,-5.060771e-05,2.550000000000e+00,3.100000000000e-01,5.941470333333e-03
1183,1183.000000,1.000000,1.916568055556e-02,1.916532777778e-02,3.774695833333e+01,2.872041666667e-02,4,5.037748e-12,7.077672e-12,3.287027e-16,3.670638e-16,3.670638e-16,-7.706149e-09,-8.443224e-18,6.416431e+03,-5.059923e-05,2.550000000000e+00,3.050000000000e-01,5.845424972222e-03
1184,1184.000000,1.000000,1.916497500000e-02,1.916462222222e-02,3.775467500000e+01,2.873125000000e-02,4,4.867218e-12,7.077894e-12,3.286415e-16,2.621675e-16,3.286415e-16,3.732839e-08,-6.647515e-18,6.419930e+03,-5.059076e-05,2.550000000000e+00,3.137500000000e-01,6.012900222222e-03
1185,1185.000000,1.000000,1.916426944444e-02,1.916391666667e-02,3.776239166667e+01,2.874208333333e-02,4,4.796163e-12,7.076562e-12,3.285803e-16,3.145760e-16,3.285803e-16,3.277000e-08,-8.422896e-18,6.423425e+03,-5.058230e-05,2.550000000000e+00,3.225000000000e-01,6.180363125000e-03
1186,1186.000000,1.000000,1.916356388889e-02,1.916321111111e-02,3.777010833333e+01,2.875291666667e-02,4,4.831691e-12,7.076117e-12,3.285191e-16,3.145509e-16,3.285191e-16,2.311572e-08,2.045754e-17,6.426919e+03,-5.057385e-05,2.550000000000e+00,4.125000000000e-02,7.904824583333e-04
1187,1187.000000,1.000000,1.916285833333e-02,1.916250555556e-02,3.777782500000e+01,2.876375000000e-02,4,5.037748e-12,7.075229e-12,3.284580e-16,3.145259e-16,3.284580e-16,2.567504e-09,1.926492e-17,6.430410e+03,-5.056542e-05,2.550000000000e+00,3.087500000000e-01,5.916423590278e-03
1188,1188.000000,1.000000,1.916215277778e-02,1.916180000000e-02,3.778554166667e+01,2.877458333333e-02,4,4.803269e-12,7.074563e-12,2.736640e-16,2.620840e-16,2.736640e-16,-2.134038e-08,1.802486e-18,6.433898e+03,-5.055700e-05,2.550000000000e+00,3.075000000000e-01,5.892253500000e-03
1189,1189.000000,1.000000,1.916144722222e-02,1.916109444444e-02,3.779325833333e+01,2.878541666667e-02,4,5.009326e-12,7.074119e-12,3.283355e-16,3.144757e-16,3.283355e-16,-4.353660e-08,-1.285457e-17,6.437384e+03,-5.054858e-05,2.550000000000e+00,1.625000000000e-02,3.113677847222e-04
1190,1190.000000,1.000000,1.916074166667e-02,1.916038888889e-02,3.780097500000e+01,2.879625000000e-02,4,5.023537e-12,7.073453e-12,3.282743e-16,2.620422e-16,3.282743e-16,-9.937139e-09,-1.123505e-17,6.440867e+03,-5.054018e-05,2.550000000000e+00,4.000000000000e-02,7.664155555556e-04
1191,1191.000000,1.000000,1.916003611111e-02,1.915968333333e-02,3.780869166667e+01,2.880708333333e-02,4,5.002221e-12,7.072343e-12,3.282131e-16,3.144256e-16,3.282131e-16,4.351205e-08,1.977314e-17,6.444349e+03,-5.053179e-05,2.550000000000e+00,2.812500000000e-01,5.388660937500e-03
1192,1192.000000,1.000000,1.915933055556e-02,1.915897777778e-02,3.781640833333e+01,2.881791666667e-02,4,4.909850e-12,7.071455e-12,3.281518e-16,3.144005e-16,3.281518e-16,2.886372e-08,-2.350686e-17,6.447828e+03,-5.052342e-05,2.550000000000e+00,2.625000000000e-02,5.029231666667e-04
1193,1193.000000,1.000000,1.915862500000e-02,1.915827222222e-02,3.782412500000e+01,2.882875000000e-02,4,4.916956e-12,7.070788e-12,3.280906e-16,3.143755e-16,3.280906e-16,1.839999e-08,-1.715750e-17,6.451304e+03,-5.051505e-05,2.550000000000e+00,4.000000000000e-02,7.663308888889e-04
1194,1194.000000,1.000000,1.915791944444e-02,1.915756666667e-02,3.783184166667e+01,2.883958333333e-02,4,4.909850e-12,7.070344e-12,2.186862e-16,2.619587e-16,2.619587e-16,-6.785558e-08,-1.727947e-17,6.454779e+03,-5.050669e-05,2.550000000000e+00,1.750000000000e-02,3.352574166667e-04
1195,1195.000000,1.000000,1.915721388889e-02,1.915686111111e-02,3.783955833333e+01,2.885041666667e-02,4,4.909850e-12,7.069234e-12,3.279681e-16,2.619378e-16,3.279681e-16,-1.468470e-08,-5.326143e-18,6.458251e+03,-5.049835e-05,2.550000000000e+00,1.250000000000e-02,2.394607638889e-04
1196,1196.000000,1.000000,1.915650833333e-02,1.915615555556e-02,3.784727500000e+01,2.886125000000e-02,4,4.845901e-12,7.068568e-12,3.279068e-16,2.619169e-16,3.279068e-16,4.628691e-08,-8.483882e-18,6.461721e+03,-5.049001e-05,2.550000000000e+00,1.750000000000e-02,3.352327222222e-04
1197,1197.000000,1.000000,1.915580277778e-02,1.915545000000e-02,3.785499166667e+01,2.887208333333e-02,4,5.087486e-12,7.067902e-12,4.371273e-16,3.666544e-16,4.371273e-16,-3.804780e-08,9.642623e-18,6.465188e+03,-5.048169e-05,2.550000000000e+00,2.000000000000e-02,3.831090000000e-04
1198,1198.000000,1.000000,1.915509722222e-02,1.915474444444e-02,3.786270833333e+01,2.888291666667e-02,4,4.881429e-12,7.066792e-12,2.185228e-16,3.142502e-16,3.142502e-16,2.189154e-08,9.080193e-19,6.468654e+03,-5.047338e-05,2.550000000000e+00,1.750000000000e-02,3.352080277778e-04
1199,1199.000000,1.000000,1.915439166667e-02,1.915403888889e-02,3.787042500000e+01,2.889375000000e-02,4,4.909850e-12,7.065903e-12,2.184819e-16,3.142251e-16,3.142251e-16,-3.248897e-08,-3.429467e-17,6.472117e+03,-5.046508e-05,2.550000000000e+00,1.625000000000e-02,3.112531319444e-04
1200,1200.000000,1.000000,1.915368611111e-02,1.915333333333e-02,3.787814166667e+01,2.890458333333e-02,4,4.895639e-12,7.065459e-12,3.276616e-16,2.618334e-16,3.276616e-16,3.205332e-08,-1.693388e-17,6.475578e+03,-5.045679e-05,2.550000000000e+00,1.250000000000e-02,2.394166666667e-04
1201,1201.000000,1.000000,1.915298055556e-02,1.915262777778e-02,3.788410000000e+01,2.891250000000e-02,4,4.945377e-12,7.016387e-12,3.276003e-16,3.141750e-16,3.276003e-16,1.666740e-08,-2.981556e-18,6.476793e+03,-5.044863e-05,2.550000000000e+00,2.375000000000e-02,4.548749097222e-04
1202,1202.000000,1.000000,1.915227500000e-02,1.915192222222e-02,3.788830000000e+01,2.891750000000e-02,4,5.087486e-12,6.959100e-12,3.275391e-16,2.617916e-16,3.275391e-16,2.964043e-09,-1.389134e-18,6.475808e+03,-5.044060e-05,2.550000000000e+00,1.625000000000e-02,3.112187361111e-04
1203,1203.000000,1.000000,1.915156944444e-02,1.915121666667e-02,3.789250000000e+01,2.892250000000e-02,4,4.966694e-12,6.934675e-12,3.274782e-16,2.617704e-16,3.274782e-16,-6.557366e-08,1.946143e-17,6.474893e+03,-5.043257e-05,2.550000000000e+00,2.125000000000e-02,4.069633541667e-04
1204,1204.000000,1.000000,1.915086388889e-02,1.915051111111e-02,3.789670000000e+01,2.892750000000e-02,4,5.059064e-12,6.909140e-12,3.274174e-16,3.140988e-16,3.274174e-16,7.657218e-08,-1.389134e-18,6.474021e+03,-5.042455e-05,2.550000000000e+00,1.250000000000e-02,2.393813888889e-04
1205,1205.000000,1.000000,1.915015833333e-02,1.914980555556e-02,3.790090000000e+01,2.893250000000e-02,4,4.810374e-12,6.890710e-12,4.364757e-16,2.617276e-16,4.364757e-16,6.421033e-09,5.597194e-18,6.473186e+03,-5.041653e-05,2.550000000000e+00,1.375000000000e-02,2.633098263889e-04
1206,1206.000000,1.000000,1.914945277778e-02,1.914910000000e-02,3.790510000000e+01,2.893750000000e-02,4,4.746425e-12,6.872725e-12,2.181976e-16,2.093650e-16,2.181976e-16,-3.141395e-08,-2.297831e-17,6.472382e+03,-5.040851e-05,2.550000000000e+00,3.750000000000e-03,7.180912500000e-05
1207,1207.000000,1.000000,1.914874722222e-02,1.914839444444e-02,3.790930000000e+01,2.894250000000e-02,4,4.774847e-12,6.857181e-12,3.272362e-16,3.140219e-16,3.272362e-16,-2.182878e-08,-1.732013e-17,6.471606e+03,-5.040050e-05,2.550000000000e+00,0.000000000000e+00,0.000000000000e+00
1208,1208.000000,1.000000,1.914804166667e-02,1.914768888889e-02,3.791350000000e+01,2.894750000000e-02,4,4.817480e-12,6.842082e-12,3.271761e-16,2.093308e-16,3.271761e-16,1.093758e-08,-9.317362e-18,6.470854e+03,-5.039250e-05,2.550000000000e+00,6.875000000000e-02,1.316403611111e-03
1209,1209.000000,1.000000,1.914733611111e-02,1.914698333333e-02,3.791770000000e+01,2.895250000000e-02,4,4.703793e-12,6.828760e-12,3.271162e-16,3.139706e-16,3.271162e-16,-5.567017e-09,2.717282e-18,6.470125e+03,-5.038450e-05,2.550000000000e+00,1.250000000000e-03,2.393372916667e-05
1210,1210.000000,1.000000,1.914663055556e-02,1.914627777778e-02,3.792190000000e+01,2.895750000000e-02,4,4.739320e-12,6.816103e-12,3.270564e-16,2.616208e-16,3.270564e-16,-4.645699e-09,5.319367e-18,6.469417e+03,-5.037651e-05,2.550000000000e+00,0.000000000000e+00,0.000000000000e+00
1211,1211.000000,1.000000,1.914592500000e-02,1.914557222222e-02,3.792610000000e+01,2.896250000000e-02,4,4.753531e-12,6.803669e-12,3.269968e-16,2.615995e-16,3.269968e-16,2.238266e-09,6.471332e-18,6.468729e+03,-5.036853e-05,2.550000000000e+00,6.375000000000e-02,1.220530229167e-03
1212,1212.000000,1.000000,1.914521944444e-02,1.914486666667e-02,3.793030000000e+01,2.896750000000e-02,4,4.639844e-12,6.792122e-12,2.724478e-16,2.615782e-16,2.724478e-16,-3.015248e-08,2.026780e-17,6.468058e+03,-5.036055e-05,2.550000000000e+00,0.000000000000e+00,0.000000000000e+00
1213,1213.000000,1.000000,1.914451388889e-02,1.914416111111e-02,3.793450000000e+01,2.897250000000e-02,4,4.618528e-12,6.781020e-12,4.358373e-16,3.661798e-16,4.358373e-16,1.676653e-08,-1.142478e-17,6.467405e+03,-5.035257e-05,2.550000000000e+00,7.500000000000e-03,1.435812083333e-04
1214,1214.000000,1.000000,1.914380833333e-02,1.914345555556e-02,3.793870000000e+01,2.897750000000e-02,4,4.817480e-12,6.770806e-12,3.268187e-16,3.138429e-16,3.268187e-16,-5.662514e-09,3.198396e-17,6.466768e+03,-5.034461e-05,2.550000000000e+00,1.875000000000e-02,3.589397916667e-04
1215,1215.000000,1.000000,1.914310277778e-02,1.914275000000e-02,3.794290000000e+01,2.898250000000e-02,4,4.639844e-12,6.760148e-12,3.267596e-16,3.138174e-16,3.267596e-16,1.701483e-08,-2.189411e-17,6.466146e+03,-5.033665e-05,2.550000000000e+00,1.000000000000e-02,1.914275000000e-04
1216,1216.000000,1.000000,1.914239722222e-02,1.914204444444e-02,3.794710000000e+01,2.898750000000e-02,4,4.810374e-12,6.750822e-12,2.178004e-16,3.137920e-16,3.137920e-16,-6.165465e-08,2.778268e-18,6.465539e+03,-5.032870e-05,2.550000000000e+00,1.250000000000e-02,2.392755555556e-04
1217,1217.000000,1.000000,1.914169166667e-02,1.914133888889e-02,3.795130000000e+01,2.899250000000e-02,4,4.661160e-12,6.740830e-12,3.266417e-16,2.614722e-16,3.266417e-16,2.031811e-09,1.165517e-17,6.464946e+03,-5.032075e-05,2.550000000000e+00,1.125000000000e-02,2.153400625000e-04
1218,1218.000000,1.000000,1.914098611111e-02,1.914063333333e-02,3.795550000000e+01,2.899750000000e-02,4,4.604317e-12,6.731948e-12,3.265830e-16,2.614511e-16,3.265830e-16,-4.923550e-08,1.358641e-17,6.464366e+03,-5.031281e-05,2.550000000000e+00,1.250000000000e-02,2.392579166667e-04
1219,1219.000000,1.000000,1.914028055556e-02,1.913992777778e-02,3.795970000000e+01,2.900250000000e-02,4,4.639844e-12,6.722845e-12,3.265243e-16,2.614300e-16,3.265243e-16,2.320849e-08,-2.854162e-17,6.463800e+03,-5.030487e-05,2.550000000000e+00,1.125000000000e-02,2.153241875000e-04
1220,1220.000000,1.000000,1.913957500000e-02,1.913922222222e-02,3.796390000000e+01,2.900750000000e-02,4,4.561684e-12,6.714407e-12,2.720548e-16,3.136907e-16,3.136907e-16,-1.327498e-08,2.320193e-17,6.463245e+03,-5.029695e-05,2.550000000000e+00,1.000000000000e-02,1.913922222222e-04
1221,1221.000000,1.000000,1.913886944444e-02,1.913851666667e-02,3.796810000000e+01,2.901250000000e-02,4,4.696687e-12,6.706191e-12,3.264072e-16,3.136655e-16,3.264072e-16,1.689841e-09,2.947675e-18,6.462703e+03,-5.028903e-05,2.550000000000e+00,5.000000000000e-03,9.569258333333e-05
1222,1222.000000,1.000000,1.913816388889e-02,1.913781111111e-02,3.797230000000e+01,2.901750000000e-02,4,4.675371e-12,6.697753e-12,3.263488e-16,3.136403e-16,3.263488e-16,-5.598849e-09,1.080814e-17,6.462172e+03,-5.028111e-05,2.550000000000e+00,3.750000000000e-03,7.176679166667e-05
1223,1223.000000,1.000000,1.913745833333e-02,1.913710555556e-02,3.797650000000e+01,2.902250000000e-02,4,4.710898e-12,6.689094e-12,3.262905e-16,3.136152e-16,3.262905e-16,4.335925e-08,-3.808260e-18,6.461652e+03,-5.027321e-05,2.550000000000e+00,8.750000000000e-03,1.674496736111e-04
1224,1224.000000,1.000000,1.913675277778e-02,1.913640000000e-02,3.798070000000e+01,2.902750000000e-02,4,4.824585e-12,6.681766e-12,3.262323e-16,2.613251e-16,3.262323e-16,-2.130946e-08,-2.103352e-17,6.461143e+03,-5.026530e-05,2.550000000000e+00,8.750000000000e-03,1.674435000000e-04
1225,1225.000000,1.000000,1.913604722222e-02,1.913569444444e-02,3.798490000000e+01,2.903250000000e-02,4,4.540368e-12,6.673773e-12,3.261742e-16,2.613042e-16,3.261742e-16,-2.576417e-08,-1.322727e-17,6.460645e+03,-5.025741e-05,2.550000000000e+00,6.250000000000e-03,1.195980902778e-04
1226,1226.000000,1.000000,1.913534166667e-02,1.913498888889e-02,3.798910000000e+01,2.903750000000e-02,4,4.774847e-12,6.666223e-12,3.261162e-16,2.612834e-16,3.261162e-16,8.622010e-10,-1.343055e-17,6.460157e+03,-5.024952e-05,2.550000000000e+00,0.000000000000e+00,0.000000000000e+00
1227,1227.000000,1.000000,1.913463611111e-02,1.913428333333e-02,3.799330000000e+01,2.904250000000e-02,4,4.519052e-12,6.658007e-12,3.260583e-16,3.135152e-16,3.260583e-16,5.640595e-08,-1.265128e-17,6.459678e+03,-5.024164e-05,2.550000000000e+00,1.375000000000e-02,2.630963958333e-04
1228,1228.000000,1.000000,1.913393055556e-02,1.913357777778e-02,3.799750000000e+01,2.904750000000e-02,4,4.476419e-12,6.651124e-12,2.173336e-16,3.134902e-16,3.134902e-16,-2.000979e-08,9.818806e-18,6.459209e+03,-5.023377e-05,2.550000000000e+00,8.750000000000e-03,1.674188055556e-04
1229,1229.000000,1.000000,1.913322500000e-02,1.913287222222e-02,3.800170000000e+01,2.905250000000e-02,4,4.490630e-12,6.643797e-12,3.259426e-16,3.134648e-16,3.259426e-16,2.952220e-09,-1.338990e-17,6.458750e+03,-5.022590e-05,2.550000000000e+00,5.000000000000e-03,9.566436111111e-05
1230,1230.000000,1.000000,1.913251944444e-02,1.913216666667e-02,3.800590000000e+01,2.905750000000e-02,4,4.462208e-12,6.636469e-12,3.258849e-16,3.134394e-16,3.258849e-16,-1.046737e-08,2.979523e-17,6.458300e+03,-5.021804e-05,2.550000000000e+00,3.750000000000e-03,7.174562500000e-05
1231,1231.000000,1.000000,1.913181388889e-02,1.913146111111e-02,3.801010000000e+01,2.906250000000e-02,4,4.689582e-12,6.629586e-12,4.344364e-16,3.134140e-16,4.344364e-16,4.568938e-08,9.791701e-18,6.457858e+03,-5.021019e-05,2.550000000000e+00,5.000000000000e-03,9.565730555556e-05
1232,1232.000000,1.000000,1.913110833333e-02,1.913075555556e-02,3.801430000000e+01,2.906750000000e-02,4,4.625633e-12,6.622480e-12,3.257697e-16,3.656202e-16,3.656202e-16,-2.452725e-08,8.714275e-18,6.457425e+03,-5.020234e-05,2.550000000000e+00,1.250000000000e-03,2.391344444444e-05
1233,1233.000000,1.000000,1.913040277778e-02,1.913005000000e-02,3.801850000000e+01,2.907250000000e-02,4,4.561684e-12,6.615597e-12,3.799976e-16,3.133634e-16,3.799976e-16,-4.344474e-08,-1.718460e-17,6.457001e+03,-5.019451e-05,2.550000000000e+00,0.000000000000e+00,0.000000000000e+00
1234,1234.000000,1.000000,1.912969722222e-02,1.912934444444e-02,3.802270000000e+01,2.907750000000e-02,4,4.590106e-12,6.609158e-12,3.256548e-16,2.611152e-16,3.256548e-16,-1.989974e-08,3.396941e-17,6.456585e+03,-5.018667e-05,2.550000000000e+00,0.000000000000e+00,0.000000000000e+00
1235,1235.000000,1.000000,1.912899166667e-02,1.912863888889e-02,3.802690000000e+01,2.908250000000e-02,4,4.476419e-12,6.602718e-12,3.255975e-16,2.610942e-16,3.255975e-16,-3.615060e-08,2.846031e-19,6.456177e+03,-5.017885e-05,2.550000000000e+00,0.000000000000e+00,0.000000000000e+00
1236,1236.000000,1.000000,1.912828611111e-02,1.912793333333e-02,3.803110000000e+01,2.908750000000e-02,4,4.632739e-12,6.596945e-12,2.170268e-16,3.132879e-16,3.132879e-16,-3.563218e-08,3.443020e-17,6.455776e+03,-5.017103e-05,2.550000000000e+00,0.000000000000e+00,0.000000000000e+00
1237,1237.000000,1.000000,1.912758055556e-02,1.912722777778e-02,3.803530000000e+01,2.909250000000e-02,4,4.625633e-12,6.589840e-12,3.254830e-16,2.610524e-16,3.254830e-16,-2.985325e-08,-3.837398e-17,6.455384e+03,-5.016322e-05,2.550000000000e+00,1.250000000000e-03,2.390903472222e-05
1238,1238.000000,1.000000,1.912687500000e-02,1.912652222222e-02,3.803950000000e+01,2.909750000000e-02,4,4.561684e-12,6.583623e-12,3.254259e-16,2.610315e-16,3.254259e-16,2.599427e-08,6.329030e-18,6.454999e+03,-5.015541e-05,2.550000000000e+00,0.000000000000e+00,0.000000000000e+00
1239,1239.000000,1.000000,1.912616944444e-02,1.912581666667e-02,3.804370000000e+01,2.910250000000e-02,4,4.511946e-12,6.577183e-12,3.253688e-16,3.132128e-16,3.253688e-16,-2.085017e-08,4.121324e-17,6.454621e+03,-5.014762e-05,2.550000000000e+00,1.250000000000e-03,2.390727083333e-05
1240,1240.000000,1.000000,1.912546388889e-02,1.912511111111e-02,3.804790000000e+01,2.910750000000e-02,4,4.575895e-12,6.571632e-12,3.253118e-16,3.653858e-16,3.653858e-16,1.046647e-08,1.115373e-17,6.454251e+03,-5.013982e-05,2.550000000000e+00,0.000000000000e+00,0.000000000000e+00
1241,1241.000000,1.000000,1.912475833333e-02,1.912440555556e-02,3.805210000000e+01,2.911250000000e-02,4,4.554579e-12,6.564971e-12,3.252549e-16,2.609691e-16,3.252549e-16,-6.046776e-08,1.025926e-17,6.453888e+03,-5.013204e-05,2.550000000000e+00,5.125000000000e-02,9.801257847222e-04
1242,1242.000000,1.000000,1.912405277778e-02,1.912370000000e-02,3.805630000000e+01,2.911750000000e-02,4,4.533263e-12,6.559198e-12,3.251980e-16,2.087587e-16,3.251980e-16,-6.257051e-08,-1.995610e-17,6.453532e+03,-5.012426e-05,2.550000000000e+00,4.875000000000e-02,9.322803750000e-04
1243,1243.000000,1.000000,1.912334722222e-02,1.912299444444e-02,3.806050000000e+01,2.912250000000e-02,4,4.462208e-12,6.552758e-12,2.709510e-16,3.131133e-16,3.131133e-16,-2.385696e-08,-2.397442e-17,6.453182e+03,-5.011649e-05,2.550000000000e+00,5.125000000000e-02,9.800534652778e-04
1244,1244.000000,1.000000,1.912264166667e-02,1.912228888889e-02,3.806470000000e+01,2.912750000000e-02,4,4.447998e-12,6.547207e-12,3.250845e-16,2.609071e-16,3.250845e-16,1.759781e-08,-9.297034e-18,6.452840e+03,-5.010873e-05,2.550000000000e+00,0.000000000000e+00,0.000000000000e+00
1245,1245.000000,1.000000,1.912193611111e-02,1.912158333333e-02,3.806890000000e+01,2.913250000000e-02,4,4.440892e-12,6.541212e-12,4.333704e-16,3.130638e-16,4.333704e-16,-1.482113e-08,2.371692e-18,6.452504e+03,-5.010098e-05,2.550000000000e+00,5.125000000000e-02,9.799811458333e-04
1246,1246.000000,1.000000,1.912123055556e-02,1.912087777778e-02,3.807310000000e+01,2.913750000000e-02,4,4.561684e-12,6.535661e-12,3.249711e-16,2.608659e-16,3.249711e-16,6.070786e-08,-1.141800e-17,6.452174e+03,-5.009323e-05,2.550000000000e+00,5.250000000000e-02,1.003846083333e-03
1247,1247.000000,1.000000,1.912052500000e-02,1.912017222222e-02,3.807730000000e+01,2.914250000000e-02,4,4.391154e-12,6.530110e-12,2.166097e-16,2.608454e-16,2.608454e-16,-2.392062e-08,-3.320369e-18,6.451851e+03,-5.008549e-05,2.550000000000e+00,4.875000000000e-02,9.321083958333e-04
1248,1248.000000,1.000000,1.911981944444e-02,1.911946666667e-02,3.808150000000e+01,2.914750000000e-02,4,4.575895e-12,6.524559e-12,3.248580e-16,2.608249e-16,3.248580e-16,5.930633e-08,1.007630e-17,6.451534e+03,-5.007775e-05,2.550000000000e+00,5.000000000000e-02,9.559733333333e-04
1249,1249.000000,1.000000,1.911911388889e-02,1.911876111111e-02,3.808570000000e+01,2.915250000000e-02,4,4.675371e-12,6.518786e-12,3.248016e-16,3.129653e-16,3.248016e-16,-8.064490e-09,-1.416239e-17,6.451223e+03,-5.007002e-05,2.550000000000e+00,5.125000000000e-02,9.798365069444e-04
1250,1250.000000,1.000000,1.911840833333e-02,1.911805555556e-02,3.808990000000e+01,2.915750000000e-02,4,4.419576e-12,6.513456e-12,3.247452e-16,2.607840e-16,3.247452e-16,1.744411e-08,-1.061163e-17,6.450919e+03,-5.006230e-05,2.550000000000e+00,2.500000000000e-03,4.779513888889e-05
1251,1251.000000,1.000000,1.911770277778e-02,1.911735000000e-02,3.809410000000e+01,2.916250000000e-02,4,4.426681e-12,6.508127e-12,3.246888e-16,3.129164e-16,3.246888e-16,5.916263e-08,-9.771372e-18,6.450620e+03,-5.005459e-05,2.550000000000e+00,3.750000000000e-03,7.169006250000e-05
1252,1252.000000,1.000000,1.911699722222e-02,1.911664444444e-02,3.809830000000e+01,2.916750000000e-02,4,4.369838e-12,6.502798e-12,3.246325e-16,2.607433e-16,3.246325e-16,-6.039772e-08,1.515173e-17,6.450327e+03,-5.004688e-05,2.550000000000e+00,2.500000000000e-03,4.779161111111e-05
1253,1253.000000,1.000000,1.911629166667e-02,1.911593888889e-02,3.810250000000e+01,2.917250000000e-02,4,4.540368e-12,6.497025e-12,3.245763e-16,2.607230e-16,3.245763e-16,-1.781882e-08,9.012431e-18,6.450040e+03,-5.003918e-05,2.550000000000e+00,0.000000000000e+00,0.000000000000e+00
1254,1254.000000,1.000000,1.911558611111e-02,1.911523333333e-02,3.810670000000e+01,2.917750000000e-02,4,4.455103e-12,6.492362e-12,3.245201e-16,2.607023e-16,3.245201e-16,-1.881290e-08,-3.144186e-18,6.449758e+03,-5.003149e-05,2.550000000000e+00,0.000000000000e+00,0.000000000000e+00
1255,1255.000000,1.000000,1.911488055556e-02,1.911452777778e-02,3.811090000000e+01,2.918250000000e-02,4,4.469314e-12,6.486589e-12,3.244639e-16,2.606816e-16,3.244639e-16,-8.605639e-09,-2.886688e-17,6.449483e+03,-5.002381e-05,2.550000000000e+00,2.500000000000e-03,4.778631944444e-05
1256,1256.000000,1.000000,1.911417500000e-02,1.911382222222e-02,3.811510000000e+01,2.918750000000e-02,4,4.519052e-12,6.481482e-12,2.162719e-16,3.127931e-16,3.127931e-16,1.887202e-09,4.817923e-18,6.449212e+03,-5.001613e-05,2.550000000000e+00,0.000000000000e+00,0.000000000000e+00
